company,careers_url,ats,slug,evidence,error
Instant Financial,https://www.instant-financial.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.instant-financial.com/careers
Call log:
  - navigating to ""https://"
Instantly,https://www.instantly.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.instantly.com/careers
Call log:
  - navigating to ""https://www.inst"
Integral Ad Science,https://www.integral-ad-science.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.integral-ad-science.com/careers
Call log:
  - navigating to ""https:"
Jasper,https://www.jasper.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.jasper.com/careers"", waiting until ""domcon"
Joby Aviation,https://www.joby-aviation.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.joby-aviation.com/careers
Call log:
  - navigating to ""https://www."
KeepTruckin (Motive),https://www.keeptruckin-motive.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.keeptruckin-motive.com/careers
Call log:
  - navigating to ""https:/"
King (Activision),https://www.king-activision.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.king-activision.com/careers
Call log:
  - navigating to ""https://ww"
Kitchen United,https://www.kitchen-united.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.kitchen-united.com/careers
Call log:
  - navigating to ""https://www"
Lambda School (BloomTech),https://www.lambda-school-bloomtech.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.lambda-school-bloomtech.com/careers
Call log:
  - navigating to ""ht"
Lattice HR,https://www.lattice-hr.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.lattice-hr.com/careers
Call log:
  - navigating to ""https://www.lat"
Lemon.io,https://www.lemonio.com/careers,error,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.lemonio.com/careers
Call log:
  - navigating to ""https://www"
Lever TA,https://www.lever-ta.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.lever-ta.com/careers
Call log:
  - navigating to ""https://www.lever"
Lili,https://www.lili.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.lili.com/careers
Call log:
  - navigating to ""https://www.lili.com/"
Lime,https://www.lime.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.lime.com/careers"", waiting until ""domconte"
M1 Finance,https://www.m1-finance.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.m1-finance.com/careers
Call log:
  - navigating to ""https://www.m1-"
Mailchimp,https://www.mailchimp.com/careers,unknown,,,
Marcus by Goldman Sachs,https://www.marcus-by-goldman-sachs.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.marcus-by-goldman-sachs.com/careers
Call log:
  - navigating to ""ht"
Mercury Banking,https://www.mercury-banking.com/careers,error,,,"Page.goto: net::ERR_CONNECTION_CLOSED at https://www.mercury-banking.com/careers
Call log:
  - navigating to ""https://ww"
Method Financial,https://www.method-financial.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.method-financial.com/careers
Call log:
  - navigating to ""https://w"
Mirror,https://www.mirror.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.mirror.com/careers"", waiting until ""domcon"
Mode Analytics,https://www.mode-analytics.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.mode-analytics.com/careers
Call log:
  - navigating to ""https://www"
Motion,https://www.motion.com/careers,unknown,,,
Nasdaq Private Market,https://www.nasdaq-private-market.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.nasdaq-private-market.com/careers
Call log:
  - navigating to ""http"
Notion Press,https://www.notion-press.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.notion-press.com/careers
Call log:
  - navigating to ""https://www.n"
Origin,https://www.origin.com/careers,error,,,"Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.origin.com/careers
Call log:
  - navigating to ""https://www.orig"
Oyster HR,https://www.oyster-hr.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.oyster-hr.com/careers"", waiting until ""dom"
Papaya Global,https://www.papaya-global.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.papaya-global.com/careers
Call log:
  - navigating to ""https://www."
Paramount+,https://www.paramount+.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.paramount+.com/careers
Call log:
  - navigating to ""https://www.par"
Paycor,https://www.paycor.com/careers,icims,icims,followed link https://careers.paychex.com/careers/jobs?sortBy=relevance&pa → https://careers.paychex.com/careers/jobs?sortBy=relevance&page=1&tags1=Paycor,
